"Quel est le problème économique fondamental découlant de la confrontation entre les besoins et les ressources ?","La rareté","qui résulte de besoins humains illimités face à des ressources (naturelles","financières","etc.) limitées."
"Quelle est la formule du multiplicateur des dépenses publiques (k) dans un modèle avec un taux d'imposition (t) ?","La formule est $k = \frac{1}{1 - c(1 - t)}$, où 'c' est la propension marginale à consommer.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est la formule du multiplicateur (k) dans un modèle avec un taux d'imposition (t) et une propension marginale à importer (m) ?","La formule est $k = \frac{1}{1 - c(1 - t) + m}$.","UNKNOWN","UNKNOWN","UNKNOWN"
"Comment la présence d'un taux d'imposition élevé affecte-t-elle la valeur du multiplicateur macroéconomique ?","Un taux d'imposition plus élevé diminue la valeur du multiplicateur, car une part du revenu est prélevée en impôts, réduisant le montant disponible pour la consommation.","UNKNOWN","UNKNOWN","UNKNOWN"
"Comment la propension marginale à importer (m) affecte-t-elle la valeur du multiplicateur macroéconomique ?","Elle réduit la valeur du multiplicateur, car une partie des dépenses est consacrée à des biens importés plutôt qu'à la production nationale.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est l'effet à court terme d'une augmentation des dépenses publiques sur l'économie ?","Elle stimule la demande globale, ce qui accroît la production et le pouvoir d'achat.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est le principal risque à moyen terme d'une augmentation des dépenses publiques financée par le déficit ?","Le risque d'une hausse de l'inflation, qui peut inciter la banque centrale à adopter une politique monétaire restrictive en augmentant les taux d'intérêt.","UNKNOWN","UNKNOWN","UNKNOWN"
"À long terme, quel est l'impact négatif potentiel d'un déficit budgétaire persistant ?","Il peut exercer une pression à la hausse sur les taux d'intérêt, ce qui décourage l'investissement privé et peut nuire à la croissance économique.","UNKNOWN","UNKNOWN","UNKNOWN"
"Comment le modèle économique linéaire traditionnel est-il souvent résumé ?","Par le schéma ""extraire - fabriquer - consommer - jeter"".","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est la définition de l'économie circulaire ?","Un système économique visant à optimiser l'utilisation des ressources tout au long du cycle de vie des biens en minimisant le gaspillage et en maximisant la réutilisation.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est le premier des trois principes fondamentaux de l'économie circulaire ?","Éliminer les déchets et la pollution dès la conception.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est le deuxième des trois principes fondamentaux de l'économie circulaire ?","Maintenir les produits et les matériaux en service le plus longtemps possible (réemploi, réparation, recyclage).","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est le troisième des trois principes fondamentaux de l'économie circulaire ?","Régénérer les systèmes naturels.","UNKNOWN","UNKNOWN","UNKNOWN"
"Comment un ingénieur informatique peut-il contribuer au développement durable de logiciels ?","En écrivant du code optimisé pour consommer moins de ressources serveur et en utilisant le cloud computing de manière judicieuse.","UNKNOWN","UNKNOWN","UNKNOWN"
"Comment les technologies émergentes comme l'IA et l'IoT peuvent-elles servir l'économie circulaire ?","Elles peuvent être utilisées pour optimiser la gestion des ressources et des déchets.","UNKNOWN","UNKNOWN","UNKNOWN"
"Le modèle économique qui privilégie l'usage d'un bien plutôt que sa possession est appelé _____.","l'économie de la fonctionnalité","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est le principe de l'économie de la fonctionnalité ?","Les entreprises vendent un service ou une performance liée au produit, ce qui les incite à concevoir des produits plus durables et réparables.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel exemple d'économie de la fonctionnalité est donné pour Renault ?","Renault propose la location des batteries de voitures électriques pour assurer leur reprise et leur remise à neuf après usage.","UNKNOWN","UNKNOWN","UNKNOWN"
"Qu'est-ce que l'écoconception ?","C'est l'intégration des considérations environnementales dès la phase de conception d'un produit ou service pour minimiser son impact.","UNKNOWN","UNKNOWN","UNKNOWN"
"Qu'est-ce que l'écologie industrielle et territoriale ?","C'est une organisation entre entreprises où les déchets d'une entreprise deviennent les matières premières d'une autre, inspirée des écosystèmes naturels.","UNKNOWN","UNKNOWN","UNKNOWN"
"Donnez un exemple d'écologie industrielle et territoriale.","Les cartons usagés d'une entreprise sont utilisés par une papeterie pour créer de nouveaux emballages.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel rôle les plateformes collaboratives numériques jouent-elles dans l'économie circulaire ?","Elles facilitent le partage, la location et l'échange de biens (seconde main) et de services, réduisant le besoin de posséder de nouveaux articles.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est la contribution de la plateforme Vinted à l'économie circulaire ?","Elle facilite le commerce de vêtements d'occasion, prolongeant ainsi leur durée de vie.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est la contribution de la plateforme OLIO à l'économie circulaire ?","Elle permet le partage de surplus alimentaires entre particuliers et commerces, réduisant ainsi le gaspillage.","UNKNOWN","UNKNOWN","UNKNOWN"
"La transition vers une économie circulaire requiert une collaboration étroite entre quels trois groupes ?","Les gouvernements, les entreprises et les consommateurs.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelles sont les quatre étapes du cycle de vie d'un produit ?","1. Introduction, 2. Croissance, 3. Maturité, 4. Déclin.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est le principal défi pour l'ingénieur concernant l'innovation technologique dans le contexte économique actuel ?","Il doit comprendre les dynamiques économiques qui déterminent le succès ou l'échec des innovations, et pas seulement la maîtrise technique.","UNKNOWN","UNKNOWN","UNKNOWN"
"Dans la formule du PIB, $PIB = P - CI$, que représente 'CI' ?","CI' désigne l'ensemble des consommations intermédiaires effectuées pour la production.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quels sont les trois objectifs de l'étude de l'économie selon le document ?","Comprendre le monde, aider à la décision, et évaluer les politiques économiques.","UNKNOWN","UNKNOWN","UNKNOWN"
"Comment le comportement des agents économiques est-il qualifié en théorie économique ?","Les agents économiques sont considérés comme des êtres rationnels qui cherchent à maximiser leur satisfaction.","UNKNOWN","UNKNOWN","UNKNOWN"
"Dans le modèle macroéconomique présenté, si les impôts (T) sont proportionnels au revenu (Y), quelle est la formule pour T ?","$T = t \cdot Y$, où 't' est le taux d'imposition constant.","UNKNOWN","UNKNOWN","UNKNOWN"
"Comment se calcule le déficit budgétaire de l'État ?","Le déficit budgétaire est la différence entre les dépenses publiques (G) et les recettes fiscales (T), soit $D = G - T$.","UNKNOWN","UNKNOWN","UNKNOWN"
"Un déficit budgétaire indique que l'État dépense _____ qu'il ne perçoit en impôts.","plus","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est l'impact direct d'une augmentation des dépenses publiques sur le pouvoir d'achat du consommateur dans le modèle keynésien ?","Elle augmente le revenu national (via l'effet multiplicateur), ce qui augmente le revenu disponible des consommateurs et donc leur pouvoir d'achat.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est le but de la gestion des risques économiques dans un projet ?","Elle est essentielle pour minimiser les risques associés à l'activité économique en identifiant, évaluant et mettant en place des mesures de mitigation.","UNKNOWN","UNKNOWN","UNKNOWN"
"Pour exporter avec succès, que doivent assurer les entreprises concernant leurs produits ?","Elles doivent s'assurer que leurs produits ou services sont compétitifs à l'échelle internationale en termes de qualité, de prix et d'innovation.","UNKNOWN","UNKNOWN","UNKNOWN"
"L'analyse économique appliquée à l'innovation vise à donner aux futurs ingénieurs des outils pour évaluer la _____ des projets.","viabilité","UNKNOWN","UNKNOWN","UNKNOWN"
"Quels sont les quatre contextes globaux qui marquent l'importance de l'analyse économique pour l'ingénieur ?","La mondialisation, la transition énergétique, l'urgence environnementale et les innovations technologiques.","UNKNOWN","UNKNOWN","UNKNOWN"
"La macroéconomie étudie les relations entre les _____ économiques.","agrégats","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est la principale fonction des institutions financières dans le circuit économique ?","Elles collectent les dépôts (épargne) des ménages et des entreprises et accordent des crédits (investissement).","UNKNOWN","UNKNOWN","UNKNOWN"
"Dans le diagramme du cycle de vie d'un produit, quelle est la phase qui suit la 'Croissance' ?","La phase de 'Maturité'.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est le principal inconvénient d'une dépendance excessive aux importations pour un projet innovant ?","Cela peut augmenter les coûts de production, notamment en cas de variation des taux de change ou de barrières commerciales.","UNKNOWN","UNKNOWN","UNKNOWN"
"L'économie de la fonctionnalité incite les entreprises à concevoir des produits plus _____ et _____.","durables, réparables","UNKNOWN","UNKNOWN","UNKNOWN"
"La _____ est la partie de l'analyse économique qui étudie le fonctionnement d'un système économique de marché en partant des comportements individuels.","micro-économie","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est l'équation d'équilibre de la production nationale (Y) dans une économie fermée ?","$Y = C + I + G$, où C est la consommation, I l'investissement et G les dépenses publiques.","UNKNOWN","UNKNOWN","UNKNOWN"
"Selon le document, l'étude de l'économie aide à évaluer les différentes politiques économiques en comparant les _____ et les _____.","actions, résultats","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est l'un des principaux rôles de l'État et des collectivités locales en tant qu'administrations publiques ?","Établir des lois et des règles pour encadrer l'économie (régulation).","UNKNOWN","UNKNOWN","UNKNOWN"
"L'innovation peut nécessiter de nouvelles infrastructures, ce qui peut stimuler _____ et la croissance.","l'investissement","UNKNOWN","UNKNOWN","UNKNOWN"
"Dans le contexte de la circularité, le produit n'est plus seulement un bien à vendre, mais un _____ intégré dans une logique circulaire.","service","UNKNOWN","UNKNOWN","UNKNOWN"
"Dans l'économie circulaire, l'objectif est de garder les ressources en _____ le plus longtemps possible.","circulation","UNKNOWN","UNKNOWN","UNKNOWN"
"Dans le modèle d'écologie industrielle, les synergies et la _____ des besoins sont des concepts clés.","mutualisation","UNKNOWN","UNKNOWN","UNKNOWN"
