"CustomerID","Customer"
"221","Wingtip Toys (Herlong, CA)"
"222","Wingtip Toys (Highland Home, AL)"
"223","Wingtip Toys (Naches, WA)"
"224","Wingtip Toys (Baldwin City, KS)"
"225","Wingtip Toys (Heartwell, NE)"
"226","Wingtip Toys (Bethel Acres, OK)"
"227","Wingtip Toys (Willow Valley, AZ)"
"228","Wingtip Toys (Athol Springs, NY)"
"229","Wingtip Toys (Paw Paw Lake, MI)"
"230","Wingtip Toys (Lilbourn, MO)"
"231","Wingtip Toys (Lost River, ID)"
"232","Wingtip Toys (Rosa Sánchez, PR)"
"233","Wingtip Toys (Vamo, FL)"
"234","Wingtip Toys (Balko, OK)"
"235","Wingtip Toys (Lime Lake, NY)"
"236","Wingtip Toys (Teutopolis, IL)"
"237","Wingtip Toys (Gargatha, VA)"
"238","Wingtip Toys (Cadogan, PA)"
"239","Wingtip Toys (Lucasville, OH)"
"240","Wingtip Toys (Cylon, WI)"
"241","Wingtip Toys (Asher, OK)"
"242","Wingtip Toys (Keosauqua, IA)"
"243","Wingtip Toys (Homer City, PA)"
"244","Wingtip Toys (Berville, MI)"
"245","Wingtip Toys (Tea, SD)"
"246","Wingtip Toys (Dacono, CO)"
"247","Wingtip Toys (Saint Landry, LA)"
"248","Wingtip Toys (Coin, IA)"
"249","Wingtip Toys (Salt Wells, NV)"
"250","Wingtip Toys (Delray, WV)"
"251","Wingtip Toys (Mount Summit, IN)"
"252","Wingtip Toys (Smoot, WY)"
"253","Wingtip Toys (Lake Davis, CA)"
"254","Wingtip Toys (Stanardsville, VA)"
"255","Wingtip Toys (Corcovado, PR)"
"256","Wingtip Toys (Taft Heights, CA)"
"257","Wingtip Toys (West Hempstead, NY)"
"258","Wingtip Toys (Portales, NM)"
"259","Wingtip Toys (Coker, AL)"
"260","Wingtip Toys (Haydenville, OH)"
"261","Wingtip Toys (Mayhill, NM)"
"262","Wingtip Toys (Vair, TX)"
"263","Wingtip Toys (Crossroads, NM)"
"264","Wingtip Toys (Cowlington, OK)"
"265","Wingtip Toys (Glen Ullin, ND)"
"266","Wingtip Toys (Oologah, OK)"
"267","Wingtip Toys (Lytle, TX)"
"268","Wingtip Toys (Mahaffey, PA)"
"269","Wingtip Toys (Sunburg, MN)"
"270","Wingtip Toys (Johnetta, KY)"
"271","Wingtip Toys (Universal City, TX)"
"272","Wingtip Toys (Ridgemark, CA)"
"273","Wingtip Toys (San Jacinto, CA)"
"274","Wingtip Toys (Floriston, CA)"
"275","Wingtip Toys (Bokeelia, FL)"
"276","Wingtip Toys (Cale, AR)"
"277","Wingtip Toys (Karthaus, PA)"
"278","Wingtip Toys (Glancy, MS)"
"279","Wingtip Toys (Stoneboro, PA)"
"280","Wingtip Toys (Mier, IN)"
"281","Wingtip Toys (Wapinitia, OR)"
"282","Wingtip Toys (White Church, MO)"
"283","Wingtip Toys (Caton, NY)"
"284","Wingtip Toys (Plum Branch, SC)"
"285","Wingtip Toys (Mauldin, SC)"
"286","Wingtip Toys (Bonner Springs, KS)"
"287","Wingtip Toys (Lowellville, OH)"
"288","Wingtip Toys (Elverson, PA)"
"289","Wingtip Toys (Isabela, PR)"
"290","Wingtip Toys (Sayner, WI)"
"291","Wingtip Toys (Beals, ME)"
"292","Wingtip Toys (Morton Grove, IL)"
"293","Wingtip Toys (Birds, IL)"
"294","Wingtip Toys (Federalsburg, MD)"
"295","Wingtip Toys (Pikeview, CO)"
"296","Wingtip Toys (Boalsburg, PA)"
"297","Wingtip Toys (Port Hueneme, CA)"
"298","Wingtip Toys (Verdery, SC)"
"299","Wingtip Toys (Obetz, OH)"
"300","Wingtip Toys (East Fultonham, OH)"
"301","Wingtip Toys (Obion, TN)"
"302","Wingtip Toys (Cavendish, VT)"
"303","Wingtip Toys (Miesville, MN)"
"304","Wingtip Toys (Valhalla, NC)"
"305","Wingtip Toys (Cape Neddick, ME)"
"306","Wingtip Toys (Silver Plume, CO)"
"307","Wingtip Toys (North Beach Haven, NJ)"
"308","Wingtip Toys (Downingtown, PA)"
"309","Wingtip Toys (Branson West, MO)"
"310","Wingtip Toys (Bergen Park, CO)"
"311","Wingtip Toys (Grabill, IN)"
"312","Wingtip Toys (North Manitou, MI)"
"313","Wingtip Toys (Philip, SD)"
"314","Wingtip Toys (Straughn, IN)"
"315","Wingtip Toys (Gilford, NH)"
"316","Wingtip Toys (Del Valle, TX)"
"317","Wingtip Toys (Harkers Island, NC)"
"318","Wingtip Toys (Licking, MO)"
"319","Wingtip Toys (Raton, NM)"
"320","Wingtip Toys (Boynton, OK)"
"321","Wingtip Toys (Frenchburg, KY)"
"322","Wingtip Toys (Robertsdale, AL)"
"323","Wingtip Toys (Dickerson, MD)"
"324","Wingtip Toys (Bruceton Mills, WV)"
"325","Wingtip Toys (Cloquet, MN)"
"326","Wingtip Toys (Claycomo, MO)"
"327","Wingtip Toys (Beekmantown, NY)"
"328","Wingtip Toys (Islip Terrace, NY)"
"329","Wingtip Toys (Rich Creek, VA)"
"330","Wingtip Toys (Griswoldville, GA)"
"331","Wingtip Toys (East Mountain, TX)"
"332","Wingtip Toys (Omer, MI)"
"333","Wingtip Toys (Waycross, GA)"
"334","Wingtip Toys (Nichols Hills, OK)"
"335","Wingtip Toys (Plaquemine, LA)"
"336","Wingtip Toys (Triadelphia, WV)"
"337","Wingtip Toys (Ferney, SD)"
"338","Wingtip Toys (Akhiok, AK)"
"339","Wingtip Toys (Deeson, MS)"
"340","Wingtip Toys (Nuangola, PA)"
"341","Wingtip Toys (Weld, ME)"
"342","Wingtip Toys (Mickleton, NJ)"
"343","Wingtip Toys (Schererville, IN)"
"344","Wingtip Toys (Lexington Heights, MI)"
"345","Wingtip Toys (Broomtown, AL)"
"346","Wingtip Toys (Jamison, IA)"
"347","Wingtip Toys (Key Biscayne, FL)"
"348","Wingtip Toys (Chaseley, ND)"
"349","Wingtip Toys (Indian Creek, IL)"
"350","Wingtip Toys (Lake Ronkonkoma, NY)"
"351","Wingtip Toys (Morrison Bluff, AR)"
"352","Wingtip Toys (Huntingburg, IN)"
"353","Wingtip Toys (Shay, PA)"
"354","Wingtip Toys (Helotes, TX)"
"355","Wingtip Toys (Hollandsburg, IN)"
"356","Wingtip Toys (Liberty Grove, MD)"
"357","Wingtip Toys (Morita, TX)"
"358","Wingtip Toys (New Laguna, NM)"
"359","Wingtip Toys (Bourneville, OH)"
"360","Wingtip Toys (Mendoza, TX)"
"361","Wingtip Toys (Palmas del Mar, PR)"
"362","Wingtip Toys (Marion Junction, AL)"
"363","Wingtip Toys (Ware Shoals, SC)"
"364","Wingtip Toys (Lostine, OR)"
"365","Wingtip Toys (Tilleda, WI)"
"366","Wingtip Toys (Wapiti, WY)"
"367","Wingtip Toys (Amado, AZ)"
"368","Wingtip Toys (Jeromesville, OH)"
"369","Wingtip Toys (Ovilla, TX)"
"370","Wingtip Toys (West Frostproof, FL)"
"371","Wingtip Toys (Flomaton, AL)"
"372","Wingtip Toys (Pawlet, VT)"
"373","Wingtip Toys (Trout Run, PA)"
"374","Wingtip Toys (Marin City, CA)"
"375","Wingtip Toys (Molalla, OR)"
"376","Wingtip Toys (Trumansburg, NY)"
"377","Wingtip Toys (Goodings Grove, IL)"
"378","Wingtip Toys (Cherryplain, NY)"
"379","Wingtip Toys (Bell Acres, PA)"
"380","Wingtip Toys (Connoquenessing, PA)"
"381","Wingtip Toys (Sarversville, PA)"
"382","Wingtip Toys (Munich, ND)"
"383","Wingtip Toys (Montoya, NM)"
"384","Wingtip Toys (Knights Landing, CA)"
"385","Wingtip Toys (Cache, OK)"
"386","Wingtip Toys (Towaco, NJ)"
"387","Wingtip Toys (Lynne, FL)"
"388","Wingtip Toys (Plata, TX)"
"389","Wingtip Toys (Oak Point, TX)"
"390","Wingtip Toys (Alcester, SD)"
"391","Wingtip Toys (McAdenville, NC)"
"392","Wingtip Toys (Idaho City, ID)"
"393","Wingtip Toys (Dunkerton, IA)"
"394","Wingtip Toys (Cuyamungue, NM)"
"395","Wingtip Toys (Marfa, TX)"
"396","Wingtip Toys (Accomac, VA)"
"397","Wingtip Toys (Cos Cob, CT)"
"398","Wingtip Toys (Haycock, AK)"
"399","Wingtip Toys (Kapa'a, HI)"
"400","Wingtip Toys (Dickworsham, TX)"
"401","Wingtip Toys (Caro, MI)"
"402","Wingtip Toys (Ruthsburg, MD)"
